Date,Description,Amount
2024-01-01,Swiggy Order - Biryani,350
2024-01-02,Uber Ride to Office,180
2024-01-03,Amazon Purchase - Headphones,2499
2024-01-04,Netflix Subscription,649
2024-01-05,BigBasket Grocery Order,1850
2024-01-06,Zomato - Dinner,520
2024-01-07,Ola Cab - Airport,750
2024-01-08,Reliance Fresh,430
2024-01-09,Spotify Premium,119
2024-01-10,Dominos Pizza,380
2024-01-11,Uber Eats,290
2024-01-12,Flipkart - Shoes,1299
2024-01-13,Apollo Pharmacy,650
2024-01-14,Airtel Broadband Bill,999
2024-01-15,Swiggy - Lunch,420
2024-01-16,Udemy Course Purchase,799
2024-01-17,OYO Hotel Stay,3200
2024-01-18,IRCTC Train Ticket,1450
2024-01-19,Amazon Prime Subscription,1499
2024-01-20,Electricity Bill,2100
2024-01-21,McDonald's,380
2024-01-22,Myntra - Kurta,899
2024-01-23,1mg Medicines,340
2024-01-24,Jio Recharge,399
2024-01-25,Starbucks Coffee,450
2024-01-26,Zomato - Weekend Dinner,780
2024-01-27,Zepto Groceries,620
2024-01-28,Amazon Shopping,3499
2024-01-29,Petrol - Fuel Refill,1800
2024-01-30,BookMyShow - Movie,500
